id,make,model,production_year,VIN_number
1,Cadillac,DeVille,1996,2C3CDXBG2DH118285
2,Mercury,Mountaineer,2004,1GYS4GKJXFR612944
3,Plymouth,Voyager,1998,WBAYF8C53ED867199
4,Lexus,ES,2005,1GD02ZCG6CZ758587
5,Ford,Windstar,1995,1D7RB1CT9BS235264
6,Pontiac,Sunbird,1987,YV4952CT0C1369379
7,Oldsmobile,Silhouette,1993,WBA3A5C52DJ860221
8,Hyundai,Sonata,2007,WAUKFBFLXEN082055
9,Mitsubishi,Eclipse,2004,5BZBF0AA0FN541141
10,GMC,Sierra 1500,2008,WAUDH68D21A773226
11,Toyota,4Runner,2009,SAJWA1EK4EM252388
12,Infiniti,Q,2003,1C6RD6FP0CS805497
13,Chevrolet,Camaro,1973,KNADH4A3XB6476585
14,Nissan,300ZX,1992,WBXPA93474W672450
15,Audi,S6,2002,WAUDL74F75N452941
16,Ford,Aerostar,1996,WBA3A5G54CN684189
17,GMC,Sonoma,1999,WAUEH94F98N425455
18,Mercury,Sable,2008,JH4CL96897C939936
19,Ford,Laser,1987,WAUNF78P08A679026
20,Lincoln,Town Car,1992,WUARU98E77N347728
21,BMW,525,2002,1VWAH7A38EC340658
22,Mercedes-Benz,CL-Class,1999,5UXFB93593L944199
23,Lincoln,Continental,1986,5GADX23L75D057389
24,Lamborghini,Gallardo,2007,2C4RRGAG2DR601617
25,Buick,Riviera,1996,1LNHL9DR8BG952077
26,Mitsubishi,Eclipse,1997,JN8AF5MR9DT593777
27,Buick,Skylark,1990,1C3BCBFG5DN559119
28,Mercury,Cougar,1985,1G4HJ5EM4AU489405
29,Jeep,Liberty,2005,WA1BV74L08D217408
30,BMW,7 Series,1999,WA1LMAFE6FD413725
31,Ford,Escort,1985,1GYS4RKJ1FR041212
32,Hyundai,Accent,1995,YV1382MW0A2448318
33,BMW,M3,2012,3N1AB6AP2CL904469
34,Acura,Integra,1988,JM1NC2NF6E0080773
35,Mazda,Tribute,2001,1G4PP5SK8D4185902
36,Mercury,Milan,2009,3D73Y4CL3AG937639
37,Lexus,LX,2006,3C6TD5HT0CG326398
38,Hummer,H1,2000,SCFAB01A67G640111
39,Mitsubishi,Chariot,1993,4USBU33518L497327
40,Aston Martin,V8 Vantage,2012,2G4GS5GX9E9548970
41,Infiniti,QX,2012,1G4GH5E31CF139574
42,Audi,A8,2000,2G4GR5ER3D9388762
43,Toyota,Camry Hybrid,2011,1G4HC5EMXBU866539
44,Volvo,S60,2002,5UXZV4C59D0197990
45,Mitsubishi,Challenger,1997,3C63DRHL1CG693673
46,GMC,Envoy XL,2004,3GYEK63N63G786486
47,Nissan,370Z,2011,YV4952CF3E1207727
48,Buick,LeSabre,1989,1G6DJ5E34D0962051
49,Dodge,Daytona,1992,KNADM4A31D6138670
50,Volkswagen,New Beetle,1999,3VWJP7AT3CM246654
51,Chevrolet,Suburban 2500,2000,SCBET9ZA6FC161511
52,Chevrolet,Corsica,1993,WAUDF98E15A923428
53,Mazda,MX-5,2006,WA1DGBFP6DA285150
54,Ford,E-Series,2011,1FTMF1CW5AF680964
55,Plymouth,Colt Vista,1993,5YMGY0C51BL467712
56,Volkswagen,Eos,2010,1N6AF0LX0EN409103
57,Infiniti,J,1993,JH4KA96661C751303
58,Toyota,MR2,2001,JN8AF5MR7CT458442
59,Volvo,S40,2004,WUARL48H77K983552
60,Jeep,Liberty,2004,1N6AD0CU4CC725351
61,Mercury,Mountaineer,2009,JM1NC2JF0F0221683
62,Nissan,Murano,2012,1GD322CG4EF209205
63,BMW,M3,1997,1G6DT57V090752062
64,Dodge,Dakota,2011,JTEBU4BF0CK949347
65,Volkswagen,R32,2004,1FTSW2A57AE426914
66,Mazda,929,1994,3G5DB03E44S346433
67,Ford,Mustang,1989,1GYFK26289R008990
68,Chevrolet,Malibu,1997,5J8TB3H5XFL957379
69,Land Rover,Freelander,2005,WBA3T1C58FP687632
70,Eagle,Premier,1992,4T3BA3BB0FU699088
71,Cadillac,SRX,2004,3GTU2YEJ9BG226788
72,Bentley,Continental Super,2012,JH4CU4F46AC851494
73,Dodge,Neon,2004,WBAYE8C56ED284838
74,Cadillac,Escalade,2004,1C3BC4FB1BN654578
75,Mercury,Sable,1994,WAUHF98P39A539966
76,Volvo,S80,2001,WBADT33443G096720
77,Maybach,57,2011,1GYS4GEF5CR034819
78,Hyundai,Accent,2007,WAU4FAFR5DA888124
79,Acura,RDX,2008,WA1VKBFP2AA773221
80,Mercury,Mountaineer,2005,WA1YD64B52N967628
81,Nissan,Frontier,2010,1GYUKAEF9AR868388
82,Lotus,Esprit,1991,19UYA42522A503009
83,Kia,Sorento,2005,WAUMR94E49N005846
84,Suzuki,Grand Vitara,2004,YV4852CZ2A1080839
85,Hyundai,Azera,2009,5GAKRBED1BJ363640
86,Pontiac,Trans Sport,1994,WBAVB17576N686179
87,Cadillac,Seville,2003,1G6DK1E31C0752799
88,Pontiac,G6,2009,SAJWA4DC6EM727051
89,Honda,Fit,2010,1VWAH7A32DC692004
90,Ford,F250,1995,JM1NC2EF9A0253874
91,Dodge,Ram 3500,2001,2C3CDXCT5FH400709
92,Subaru,Impreza,2012,JA32U2FU5EU075794
93,Plymouth,Voyager,1992,WAUPEBFM3DA219103
94,Volkswagen,Passat,1995,KNAFX5A88E5298523
95,Dodge,Ram Van 1500,1995,WAUVT68E05A624704
96,Hyundai,Entourage,2007,1FADP5AU3EL271271
97,Volvo,V70,2002,1G4CU541754171390
98,Plymouth,Breeze,1996,3N1CN7AP6EL636101
99,Dodge,Dakota,1996,WAUGL98E55A349731
100,Chevrolet,Suburban 2500,2002,WBALW7C53DD115263
